sample-id,forward-absolute-filepath,reverse-absolute-filepath,Sample Name,SampleType,Total 16s rRNA copy per mL
6631-1-28FCombo,/home/data/gd2212/semen_16s_raw/semenProjectData/PTrimmed_V1MixedV2/6631-1-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-1-28FCombo_R2.fastq,LT001,Sample,6749.05853271484
6631-10-28FCombo,./PTrimmed_V1MixedV2/6631-10-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-10-28FCombo_R2.fastq,LT010,Sample,74571.3623046874
6631-100-28FCombo,./PTrimmed_V1MixedV2/6631-100-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-100-28FCombo_R2.fastq,LT100,Sample,44711.1694335938
6631-101-28FCombo,./PTrimmed_V1MixedV2/6631-101-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-101-28FCombo_R2.fastq,LT101,Sample,197130.993652344
6631-102-28FCombo,./PTrimmed_V1MixedV2/6631-102-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-102-28FCombo_R2.fastq,LT102,Sample,66771.435546875
6631-103-28FCombo,./PTrimmed_V1MixedV2/6631-103-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-103-28FCombo_R2.fastq,LT103,Sample,60341.7358398438
6631-104-28FCombo,./PTrimmed_V1MixedV2/6631-104-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-104-28FCombo_R2.fastq,LT104,Sample,5845.99723815918
6631-105-28FCombo,./PTrimmed_V1MixedV2/6631-105-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-105-28FCombo_R2.fastq,LT105,Sample,295812.59765625
6631-106-28FCombo,./PTrimmed_V1MixedV2/6631-106-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-106-28FCombo_R2.fastq,LT106,Sample,21473.5321044922
6631-107-28FCombo,./PTrimmed_V1MixedV2/6631-107-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-107-28FCombo_R2.fastq,LT107,Sample,4781.80923461914
6631-108-28FCombo,./PTrimmed_V1MixedV2/6631-108-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-108-28FCombo_R2.fastq,LT108,Sample,134299.365234375
6631-109-28FCombo,./PTrimmed_V1MixedV2/6631-109-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-109-28FCombo_R2.fastq,LT109,Sample,14154.0557861328
6631-11-28FCombo,./PTrimmed_V1MixedV2/6631-11-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-11-28FCombo_R2.fastq,LT011,Sample,5915.69023132324
6631-110-28FCombo,./PTrimmed_V1MixedV2/6631-110-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-110-28FCombo_R2.fastq,LT110,Sample,1963.23051452637
6631-111-28FCombo,./PTrimmed_V1MixedV2/6631-111-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-111-28FCombo_R2.fastq,LT111,Sample,34791.4367675782
6631-112-28FCombo,./PTrimmed_V1MixedV2/6631-112-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-112-28FCombo_R2.fastq,LT112,Sample,60752.4047851562
6631-113-28FCombo,./PTrimmed_V1MixedV2/6631-113-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-113-28FCombo_R2.fastq,LT113,Sample,1804.80499267578
6631-114-28FCombo,./PTrimmed_V1MixedV2/6631-114-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-114-28FCombo_R2.fastq,LT114,Sample,496903.7109375
6631-115-28FCombo,./PTrimmed_V1MixedV2/6631-115-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-115-28FCombo_R2.fastq,LT115,Sample,13341.7602539063
6631-116-28FCombo,./PTrimmed_V1MixedV2/6631-116-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-116-28FCombo_R2.fastq,LT116,Sample,2473.04668426514
6631-117-28FCombo,./PTrimmed_V1MixedV2/6631-117-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-117-28FCombo_R2.fastq,LT117,Sample,9462.99285888672
6631-118-28FCombo,./PTrimmed_V1MixedV2/6631-118-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-118-28FCombo_R2.fastq,LT118,Sample,8212.4496459961
6631-119-28FCombo,./PTrimmed_V1MixedV2/6631-119-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-119-28FCombo_R2.fastq,LT119,Sample,24139.697265625
6631-12-28FCombo,./PTrimmed_V1MixedV2/6631-12-28FCombo_R1.fastq,./PTrimmed_V1MixedV2/6631-12-28FCombo_R2.fastq,LT012,Sample,1210815.8203125
