"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"f17d3da8eb98435912cf7cfb2d1bfbdb","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Propionibacteriales"," f__Propionibacteriaceae"," g__Cutibacterium",NA
"c583691d16154c22f1e985ff3d44f05c","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus"," s__Lactobacillus_gasseri"
"659f4aad449a0d857e134cd1729dc6df","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__Burkholderia-Caballeronia-Paraburkholderia",NA
"7853ba582729d6f9389b4602663d97c2","d__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Peptostreptococcales-Tissierellales"," f__Family_XI"," g__Finegoldia",NA
"a49479d0ad8db142368d0b6baefdad35","d__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Peptostreptococcales-Tissierellales"," f__Family_XI"," g__Finegoldia",NA
"d1e6ed0bbb17def709606e1e069a5138","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Oxalobacteraceae",NA,NA
"077505e7b08665f17cd134c31c7f8f14","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Streptococcaceae"," g__Streptococcus"," s__Streptococcus_mitis"
"ecc5397a2c374500fdad3a45feea9d43","d__Bacteria"," p__Fusobacteriota"," c__Fusobacteriia"," o__Fusobacteriales"," f__Fusobacteriaceae"," g__Fusobacterium"," s__Fusobacterium_nucleatum"
"ae34bbed44115ce2f30ca841f0efb8aa","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Streptococcaceae"," g__Streptococcus",NA
"e0cca64497a3ad5927541312b65330d5","d__Bacteria"," p__Synergistota"," c__Synergistia"," o__Synergistales"," f__Synergistaceae"," g__Pyramidobacter"," s__uncultured_bacterium"
"38f33cf3c8e66185c3e91aa40395c74a","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Beijerinckiaceae"," g__Methylobacterium-Methylorubrum"," s__Methylorubrum_populi"
"d5cd8ee7777c4a9c8460f026c0de7e2e","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Actinomycetales"," f__Actinomycetaceae"," g__Actinotignum"," s__uncultured_microorganism"
"1ff2519c2a8fcf3fe98a3e1a39c86964","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Enhydrobacter"," s__Moraxella_osloensis"
"1924228b08c4c3c615bfe160fb23a8d1","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Aerococcaceae"," g__Aerococcus"," s__Aerococcus_sanguinicola"
"5935eb8a22892d7b52942da8bd6080a0","d__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Peptostreptococcales-Tissierellales"," f__Family_XI"," g__Finegoldia",NA
"0a7f65c0f300374b7df37a76f185a18f","d__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Peptostreptococcales-Tissierellales"," f__Family_XI"," g__Peptoniphilus"," s__Peptoniphilus_lacrimalis"
"9532194be6854570a1b9c4eab2a847ce","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Micrococcaceae"," g__Micrococcus",NA
"a723e6fbeef9fab72bbe8e01b4630480","d__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Peptostreptococcales-Tissierellales"," f__Family_XI"," g__Finegoldia"," s__Finegoldia_magna"
"7d0d1ba7cfa0cf6e6ac9be11d1539dbf","d__Bacteria"," p__Fusobacteriota"," c__Fusobacteriia"," o__Fusobacteriales"," f__Leptotrichiaceae"," g__Sneathia"," s__Sneathia_sanguinegens"
"c1705293e84e3e6be8f0a9974d70bce7","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Actinomycetales"," f__Actinomycetaceae"," g__Actinotignum"," s__uncultured_microorganism"
"ee4207e4a7f717e5dea8d62309aa6295","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Corynebacteriales"," f__Corynebacteriaceae"," g__Corynebacterium"," s__Corynebacterium_tuberculostearicum"
"a25c7b45f8cb57b7d7b26d803130a6dc","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Staphylococcales"," f__Staphylococcaceae"," g__Staphylococcus",NA
"c2c42d58357c7fbf906b85c75434f125","d__Bacteria"," p__Fusobacteriota"," c__Fusobacteriia"," o__Fusobacteriales"," f__Fusobacteriaceae"," g__Fusobacterium"," s__Fusobacterium_nucleatum"
"e73eb13f91365156dcb49eb49b7658ca","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Staphylococcales"," f__Staphylococcaceae"," g__Staphylococcus",NA
