"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"eff9828f5c2b3a39cedeb19baae29484","d__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Peptostreptococcales-Tissierellales"," f__Family_XI"," g__Finegoldia"," s__Finegoldia_magna"
"91371fd8faf3d0bb7e58c2a9b46d436e","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Staphylococcales"," f__Staphylococcaceae"," g__Staphylococcus",NA
"a106b7f9b8b9359755461a06fd015065","d__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Peptostreptococcales-Tissierellales"," f__Family_XI"," g__Peptoniphilus"," s__uncultured_bacterium"
"03654fb5376fab93820653f8ccaa8f20","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Pseudomonadaceae"," g__Pseudomonas",NA
"e19a27201182efbf9917acbec463be9d","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Xanthobacteraceae"," g__Bradyrhizobium",NA
"226f2643b15b126030649d121ab230e7","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Weeksellaceae"," g__Chryseobacterium"," s__uncultured_Bacteroidetes"
"30cb84389dc640aaa4a8a5960320eda5","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Weeksellaceae"," g__Elizabethkingia"," s__Elizabethkingia_bruuniana"
"963779f09d9b3cd1789a44ecbeb74d9f","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Sphingomonadales"," f__Sphingomonadaceae"," g__Sphingomonas"," s__Sphingomonas_echinoides"
"2a98f53d6aa8e14007351b266f8e01eb","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Enterobacterales"," f__Enterobacteriaceae"," g__Escherichia-Shigella",NA
"16798147acb19487f6921bd23c2f3d43","d__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Lachnospirales"," f__Lachnospiraceae"," g__Anaerostipes"," s__Anaerostipes_hadrus"
"553cb86ffddf7897b4cb50d0b5f61913","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Gammaproteobacteria_Incertae_Sedis"," f__Unknown_Family"," g__Acidibacter",NA
"89b8836a8ae801fe5726c8b276e6cf14","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Piscirickettsiales"," f__Piscirickettsiaceae"," g__Candidatus_Endoecteinascidia"," s__uncultured_bacterium"
