Feature ID,Taxon,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,FullName
9b0952f158a6a2b0d6a8f735cb3d995d,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_iners,0.9991383373890012,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_iners,g_Lactobacillus
ac1de2fa939247f75a56f5e8215803a2,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__Gardnerella_vaginalis,0.9491245705976628,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella_vaginalis,g_Gardnerella
c2e44bb666bf5be0ba0e3b75a402ce08,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_anginosus,0.9999983580903354,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_anginosus,g_Streptococcus
317ed0e53757ef5c3c701280fa67950b,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_tuberculostearicum,0.7550314703851994,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_tuberculostearicum,g_Corynebacterium
0756d82ea5efbc9a175461283dde3903,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus,0.999999999998816,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,g_Streptococcus
50503f9578cdbe5967c44d357043cf6f,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_agalactiae,0.99976677818723,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_agalactiae,g_Streptococcus
6ac2f4da6d89c3bd73fd8a5feecb412c,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_timonensis,0.999998097151382,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_timonensis,g_Prevotella
98d96123ac15da674275b07eba76382d,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Finegoldia; s__Finegoldia_magna,0.9481451233980072,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Finegoldia,Finegoldia_magna,g_Finegoldia
c480b77a8d98d69ae4089d0404660adc,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_bivia,0.999999999597364,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_bivia,g_Prevotella
17824498c6197c2669fffe55f682c72f,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_timonensis,0.999999943283173,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_timonensis,g_Prevotella
