SampleID,Sample Name,Total 16s rRNA copy per mL,SampleType,#SampleID,faith_pd,observed_features,shannon_entropy,simpson_e,simpson
6631-1-28FCombo,LT001,6749.05853271484,Sample,6631-1-28FCombo,18.2338645856526,65,3.38914859469628,0.066550411904644,0.768827645925633
6631-10-28FCombo,LT010,74571.3623046874,Sample,6631-10-28FCombo,14.18112081766,92,4.97324227885909,0.188006316743162,0.942185106300229
6631-100-28FCombo,LT100,44711.1694335938,Sample,6631-100-28FCombo,10.3712055410392,63,3.35725623058403,0.056158476570334,0.717353161225156
6631-101-28FCombo,LT101,197130.993652344,Sample,6631-101-28FCombo,15.8742434859678,91,3.38632238150068,0.037537957116155,0.707256019420361
6631-102-28FCombo,LT102,66771.435546875,Sample,6631-102-28FCombo,10.8363029204942,48,2.37600503430178,0.054985166237801,0.621109932754719
6631-103-28FCombo,LT103,60341.7358398438,Sample,6631-103-28FCombo,18.0422368106749,117,4.35734085591396,0.049634355847891,0.827800554656101
6631-104-28FCombo,LT104,5845.99723815918,Sample,6631-104-28FCombo,21.216545171732,84,4.6497210960645,0.154842776963378,0.923117098916551
6631-105-28FCombo,LT105,295812.59765625,Sample,6631-105-28FCombo,33.588680689742,336,6.85874481810667,0.121088005642025,0.975421261086841
6631-106-28FCombo,LT106,21473.5321044922,Sample,6631-106-28FCombo,18.2733511673525,43,2.38955633015072,0.053225343925113,0.563068789443453
6631-107-28FCombo,LT107,4781.80923461914,Sample,6631-107-28FCombo,36.4511929498164,91,5.37174835465263,0.314851185242429,0.965097762040979
6631-108-28FCombo,LT108,134299.365234375,Sample,6631-108-28FCombo,25.9737390077465,217,5.95478436531276,0.106223577249862,0.956617023732539
6631-109-28FCombo,LT109,14154.0557861328,Sample,6631-109-28FCombo,9.84028326738186,30,3.62065485992653,0.283714834873084,0.882511137113276
6631-11-28FCombo,LT011,5915.69023132324,Sample,6631-11-28FCombo,19.5811331176769,69,3.52956165816402,0.084066932626898,0.82760458636561
6631-110-28FCombo,LT110,1963.23051452637,Sample,6631-110-28FCombo,15.7328434268079,48,4.34830697563335,0.245584973162394,0.915168533868083
6631-111-28FCombo,LT111,34791.4367675782,Sample,6631-111-28FCombo,22.461925052651,158,5.83684725614039,0.186826358572192,0.966123014052083
6631-112-28FCombo,LT112,60752.4047851562,Sample,6631-112-28FCombo,17.5720322216218,89,3.12074389650327,0.03663198464156,0.69327473883486
6631-113-28FCombo,LT113,1804.80499267578,Sample,6631-113-28FCombo,17.6742528785046,53,4.19967706856047,0.231400171022156,0.918461924876904
6631-114-28FCombo,LT114,496903.7109375,Sample,6631-114-28FCombo,27.325389008565,238,5.32816127798913,0.064030260787979,0.934379766370439
6631-115-28FCombo,LT115,13341.7602539063,Sample,6631-115-28FCombo,18.9337043004719,85,4.85956104115875,0.227421968150701,0.948269263615918
6631-116-28FCombo,LT116,2473.04668426514,Sample,6631-116-28FCombo,14.7931279055673,49,3.70461934235745,0.156001556081692,0.869179745523698
6631-117-28FCombo,LT117,9462.99285888672,Sample,6631-117-28FCombo,13.5915160677878,60,4.41834341788988,0.211739520833962,0.921286934999083
6631-118-28FCombo,LT118,8212.4496459961,Sample,6631-118-28FCombo,11.0001610789549,63,5.09656382618587,0.362244370371049,0.956181469827241
6631-119-28FCombo,LT119,24139.697265625,Sample,6631-119-28FCombo,14.0225251069285,43,1.4857640150014,0.035693248993869,0.348453430017446
6631-12-28FCombo,LT012,1210815.8203125,Sample,6631-12-28FCombo,12.5789537281977,73,3.25670494359384,0.049984939210123,0.725944847518948
6631-120-28FCombo,LT120,2233.30879211426,Sample,6631-120-28FCombo,10.9281762317508,45,4.03347809303868,0.231406201869003,0.903968769882831
6631-121-28FCombo,LT121,25886.6516113282,Sample,6631-121-28FCombo,24.9884441390959,183,5.78831879900032,0.10846324971664,0.949619056329283
6631-122-28FCombo,LT122,10232.0785522461,Sample,6631-122-28FCombo,15.3056198171995,67,4.71558088634399,0.198465811214223,0.924796250583341
6631-123-28FCombo,LT123,913.297080993652,Sample,6631-123-28FCombo,20.6621983431776,98,5.40986038371835,0.223249185800672,0.954292860706046
6631-124-28FCombo,LT124,1336.89994812012,Sample,6631-124-28FCombo,14.0214507325281,54,4.39918586468873,0.234630494889746,0.921073692798456
6631-125-28FCombo,LT125,8921.71478271484,Sample,6631-125-28FCombo,9.61108302305461,47,2.93857916502445,0.087356599058574,0.75643974268716
6631-126-28FCombo,LT126,1460879.6875,Sample,6631-126-28FCombo,10.5928813533086,63,4.10587195999304,0.159917365933064,0.900742387917646
6631-127-28FCombo,LT127,24603.7048339844,Sample,6631-127-28FCombo,15.7333376342578,83,4.09321161064971,0.096928362666045,0.875700027941307
6631-128-28FCombo,LT128,2426.20315551758,Sample,6631-128-28FCombo,20.1414385724493,60,3.94244409374693,0.116182162858546,0.856547113114441
6631-129-28FCombo,LT129,224633.935546876,Sample,6631-129-28FCombo,24.1510493350374,254,6.23657018347359,0.125919148488987,0.968733842936048
6631-13-28FCombo,LT013,2383.70552062988,Sample,6631-13-28FCombo,14.2109575116126,52,4.09117206639037,0.212703719835677,0.909588937863306
6631-130-28FCombo,LT130,1255.31520843506,Sample,6631-130-28FCombo,15.2416531295141,50,3.81569893013521,0.154410106551581,0.870474799566835
6631-131-28FCombo,LT131,14425.6683349609,Sample,6631-131-28FCombo,9.14735600300148,52,2.85490768360673,0.073603982228352,0.738726511140296
6631-132-28FCombo,LT132,2142.21572875976,Sample,6631-132-28FCombo,16.4947694853716,65,4.56069663319534,0.188002632273464,0.918168085209375
6631-133-28FCombo,LT133,3557.61032104492,Sample,6631-133-28FCombo,20.5933711663852,98,5.20840348980246,0.237711941460556,0.957073752500792
6631-134-28FCombo,LT134,902.285099029542,Sample,6631-134-28FCombo,74.0509538770546,81,3.93582709321667,0.090208275711951,0.863142500896843
6631-135-28FCombo,LT135,28222743.75,Sample,6631-135-28FCombo,15.0590808191127,80,4.94621763143389,0.256670240227767,0.951299379355754
6631-136-28FCombo,LT136,453.185653686524,Sample,6631-136-28FCombo,10.8947500380408,38,4.12204231189407,0.288102786375313,0.908658330574413
6631-137-28FCombo,LT137,8206.37817382812,Sample,6631-137-28FCombo,11.3700833595603,62,2.17408804376636,0.041110689888295,0.607668168500947
6631-138-28FCombo,LT138,624115.52734375,Sample,6631-138-28FCombo,11.3381902899176,83,4.50897632050549,0.15250163163461,0.920996302518576
6631-139-28FCombo,LT139,1141.30420684814,Sample,6631-139-28FCombo,15.9913214793984,59,3.69443754156109,0.103241895563456,0.835830672714108
6631-14-28FCombo,LT014,11180.3298950195,Sample,6631-14-28FCombo,13.5505033878129,59,4.09125161997982,0.163362339470035,0.896248103465231
6631-141-28FCombo,LT141,16567.1600341797,Sample,6631-141-28FCombo,15.8740924808518,107,5.21120548326579,0.208672093527597,0.955213012748696
6631-142-28FCombo,LT142,827.6780128479,Sample,6631-142-28FCombo,18.3605068231431,66,5.03093390131303,0.373574151774159,0.959441746492474
6631-143-28FCombo,LT143,55787.8784179688,Sample,6631-143-28FCombo,14.7042550956633,91,3.44461299639597,0.04156867019557,0.7356419886104
6631-144-28FCombo,LT144,4798.36807250976,Sample,6631-144-28FCombo,22.6669944105071,84,4.41387031920772,0.138080541402433,0.913783927960814
6631-145-28FCombo,LT145,1330.33103942871,Sample,6631-145-28FCombo,15.0286270463748,44,1.49002976627426,0.032974602640414,0.310764318372169
6631-146-28FCombo,LT146,3110.7385635376,Sample,6631-146-28FCombo,13.7289984984083,82,4.65037285595365,0.135404674447736,0.909935738917738
6631-147-28FCombo,LT147,776.8807888031,Sample,6631-147-28FCombo,13.2867127096781,50,3.58148572821133,0.120964940903355,0.834662838251795
6631-148-28FCombo,LT148,26164.35546875,Sample,6631-148-28FCombo,10.8787447410999,34,2.96835905440626,0.163829502737119,0.820473332247877
6631-149-28FCombo,LT149,30613.1408691406,Sample,6631-149-28FCombo,15.724926639558,78,3.62947508166478,0.076304132341382,0.831981408776733
